순번,상호,지역,1등 자동 당첨 건수
1,인터넷 복권판매사이트,서울 서초구,16
2,오천억복권방,광주 서구,4
3,로또킹,서울 영등포구,3
4,오케이상사,서울 서초구,3
5,부일카서비스,부산 동구,3
6,메트로센터점,대구 중구,3
7,복권백화점,경기 파주시,3
8,로또명당인주점,충남 아산시,3
9,행복한복권방,전북 전주시 덕진구,3
10,명당,경남 진주시,3
11,월드24시,서울 은평구,2
12,묵동식품,서울 중랑구,2
13,스파,서울 노원구,2
14,행운복권방,서울 금천구,2
15,행운의집,서울 강동구,2
16,화신상사,부산 동래구,2
17,복권명당(서부점),대구 달서구,2
18,청구마트,대구 북구,2
19,일등복권편의점,대구 달서구,2
20,대전우표사,대전 동구,2
21,제우스테크,대전 서구,2
22,8888로또,대전 서구,2
23,북부슈퍼,경기 의정부시,2
24,한국슈퍼,경기 부천시 오정구,2
25,내츄럴하우스복권판매점,경기 평택시,2
26,로또휴게실,경기 용인시 기흥구,2
27,행운복권방,경기 의정부시,2
28,신의 축복,경기 남양주시,2
29,진평양행,강원 강릉시,2
30,대박마트복권방,충남 아산시,2
31,흥건슈퍼,전북 전주시 완산구,2
32,춘향로또,전북 남원시,2
33,영유통(로또복권),전북 군산시,2
34,로또명당,경북 의성군,2
35,목화휴게소,경남 사천시,2
36,터미널복권판매점,경남 창원시 마산회원구,2
37,대청행복복권,경남 김해시,2
38,복권마을,서울 구로구,1
39,노다지 노원역점 복권방,서울 노원구,1
40,보경식품,서울 강북구,1
41,진흥수퍼,서울 강남구,1
42,신세계슈퍼,서울 영등포구,1
43,하나로슈퍼,서울 동대문구,1
44,그린슈퍼,서울 동대문구,1
45,삼성마트,서울 강남구,1
46,여명슈퍼마켓,서울 성북구,1
47,종합가판제141호,서울 중구,1
48,종합가로판매점113호패션TV앞,서울 중구,1
49,가판100호,서울 중구,1
50,중구-가로가판대-37,서울 중구,1
51,가판14호,서울 중구,1
52,가판대,서울 도봉구,1
53,가로판매점,서울 용산구,1
54,가로판매점,서울 용산구,1
55,로또복권판매소,서울 마포구,1
56,토큰박스,서울 동작구,1
57,사당,서울 관악구,1
58,잠실매점,서울 송파구,1
59,꿈이현실로,서울 중구,1
60,지원물산,서울 노원구,1
61,복권방,서울 성북구,1
62,가판대20호,서울 송파구,1
63,신가로판매점,서울 중구,1
64,신일,서울 강서구,1
65,광나루복권방,서울 광진구,1
66,씨유 망우점2,서울 중랑구,1
67,행운복권방,서울 도봉구,1
68,세명복권,서울 마포구,1
69,성지로또,서울 송파구,1
70,살맛나는 세상,서울 동대문구,1
71,행운식품,서울 관악구,1
72,고고GOGO로또,서울 광진구,1
73,고척대박복권&카페,서울 구로구,1
74,오케이(O.K)로또,서울 도봉구,1
75,다람쥐로또,서울 마포구,1
76,행운로또복권방,서울 성북구,1
77,일등,서울 강동구,1
78,태양 명당 복권방,서울 금천구,1
79,정안 복권방,서울 노원구,1
80,예지행복,서울 양천구,1
81,꿈이있는 로또점(복권판매점),서울 은평구,1
82,쌍둥이네복권방,서울 중구,1
83,태릉시장복권방,서울 중랑구,1
84,주황이 복권방,서울 서초구,1
85,월드로또복권 판매점,서울 강남구,1
86,행운당,서울 노원구,1
87,장안평역 3번출구 가판대,서울 동대문구,1
88,온누리복권,서울 동작구,1
89,믿음복권방,서울 서대문구,1
90,지에스(GS)25 신길센트럴점,서울 영등포구,1
91,크린토피아/최강로또,서울 은평구,1
92,무지개로또,서울 중구,1
93,구일 로또 전자담배,서울 구로구,1
94,해인복권,서울 도봉구,1
95,가든파이브 복권,서울 송파구,1
96,굿럭커피,서울 은평구,1
97,마곡점빵,서울 강서구,1
98,5번가 로또,서울 송파구,1
99,복권나라,서울 성동구,1
100,미나식품(로또판매점),서울 강서구,1
101,잉크와복권,서울 강서구,1
102,복권나라,서울 광진구,1
103,현대복권방,서울 동대문구,1
104,용꿈돼지꿈,서울 마포구,1
105,하나복권(가로판매점),서울 영등포구,1
106,편의점사랑,서울 강서구,1
107,가로판매점,서울 영등포구,1
108,천하명당초량점,부산 동구,1
109,복권방,부산 사하구,1
110,왕대박,부산 동래구,1
111,돈벼락맞는곳,부산 동구,1
112,뉴빅마트,부산 기장군,1
